"messages__role","messages__content__type","messages__content__image_url__url","messages__content"
"system","","","You are a helpful assistant."
"user","","","classify A Block ; B Block ; C Block ; D Block ; E Block ; F Block ; IEEE Office"
"user","image_url","https://transform.roboflow.com/Cimz5zboKpN8BU9q8e7wLMdDTA02/db4d0af459d68a7213a8634a1b44f1ed/transformed.jpg",""
"assistant","","","F Block"
"system","","","You are a helpful assistant."
"user","","","classify A Block ; B Block ; C Block ; D Block ; E Block ; F Block ; IEEE Office"
"user","image_url","https://transform.roboflow.com/Cimz5zboKpN8BU9q8e7wLMdDTA02/4b9fa054aca841d27a12dd38aafcb41b/transformed.jpg",""
"assistant","","","F Block"
"system","","","You are a helpful assistant."
"user","","","classify A Block ; B Block ; C Block ; D Block ; E Block ; F Block ; IEEE Office"
"user","image_url","https://transform.roboflow.com/Cimz5zboKpN8BU9q8e7wLMdDTA02/92f838b599fa2e79f1a336a61645eb35/transformed.jpg",""
"assistant","","","F Block"
"system","","","You are a helpful assistant."
"user","","","classify A Block ; B Block ; C Block ; D Block ; E Block ; F Block ; IEEE Office"
"user","image_url","https://transform.roboflow.com/Cimz5zboKpN8BU9q8e7wLMdDTA02/cd580986e5941a92d4536ad75f1060dd/transformed.jpg",""
"assistant","","","IEEE Office"
"system","","","You are a helpful assistant."
"user","","","classify A Block ; B Block ; C Block ; D Block ; E Block ; F Block ; IEEE Office"
"user","image_url","https://transform.roboflow.com/Cimz5zboKpN8BU9q8e7wLMdDTA02/8c4cc83330df4fae6a6bbf57f9331a24/transformed.jpg",""
"assistant","","","B Block"
"system","","","You are a helpful assistant."
"user","","","classify A Block ; B Block ; C Block ; D Block ; E Block ; F Block ; IEEE Office"
"user","image_url","https://transform.roboflow.com/Cimz5zboKpN8BU9q8e7wLMdDTA02/8f26540eb6389ba70666f41f5c96c740/transformed.jpg",""
"assistant","","","B Block"
"system","","","You are a helpful assistant."
"user","","","classify A Block ; B Block ; C Block ; D Block ; E Block ; F Block ; IEEE Office"
"user","image_url","https://transform.roboflow.com/Cimz5zboKpN8BU9q8e7wLMdDTA02/7a2ec9b03dcc13debbf0b9c7912a837e/transformed.jpg",""
"assistant","","","C Block"
"system","","","You are a helpful assistant."
"user","","","classify A Block ; B Block ; C Block ; D Block ; E Block ; F Block ; IEEE Office"
"user","image_url","https://transform.roboflow.com/Cimz5zboKpN8BU9q8e7wLMdDTA02/bbcfa200eb095eb9c981087c1d4a28a7/transformed.jpg",""
"assistant","","","D Block"
"system","","","You are a helpful assistant."
"user","","","classify A Block ; B Block ; C Block ; D Block ; E Block ; F Block ; IEEE Office"
"user","image_url","https://transform.roboflow.com/Cimz5zboKpN8BU9q8e7wLMdDTA02/dac5d8e9a0547ab06c998fe50ae3e234/transformed.jpg",""
"assistant","","","A Block"
"system","","","You are a helpful assistant."
"user","","","classify A Block ; B Block ; C Block ; D Block ; E Block ; F Block ; IEEE Office"
"user","image_url","https://transform.roboflow.com/Cimz5zboKpN8BU9q8e7wLMdDTA02/4d22f1d66888a9da05d2ce44bc1faa2f/transformed.jpg",""
"assistant","","","B Block"
"system","","","You are a helpful assistant."
"user","","","classify A Block ; B Block ; C Block ; D Block ; E Block ; F Block ; IEEE Office"
"user","image_url","https://transform.roboflow.com/Cimz5zboKpN8BU9q8e7wLMdDTA02/eed33683544cb3ee9da1f5a2e8eb28ea/transformed.jpg",""
"assistant","","","E Block"
"system","","","You are a helpful assistant."
"user","","","classify A Block ; B Block ; C Block ; D Block ; E Block ; F Block ; IEEE Office"
"user","image_url","https://transform.roboflow.com/Cimz5zboKpN8BU9q8e7wLMdDTA02/d2843362c16f824eaa09f4c61429cdaa/transformed.jpg",""
"assistant","","","B Block"
"system","","","You are a helpful assistant."
"user","","","classify A Block ; B Block ; C Block ; D Block ; E Block ; F Block ; IEEE Office"
"user","image_url","https://transform.roboflow.com/Cimz5zboKpN8BU9q8e7wLMdDTA02/5d2345cce53a0fc17b47420b9ce5a18b/transformed.jpg",""
"assistant","","","D Block"
"system","","","You are a helpful assistant."
"user","","","classify A Block ; B Block ; C Block ; D Block ; E Block ; F Block ; IEEE Office"
"user","image_url","https://transform.roboflow.com/Cimz5zboKpN8BU9q8e7wLMdDTA02/26336c4afa03f9b011083d4899c4bd12/transformed.jpg",""
"assistant","","","E Block"
"system","","","You are a helpful assistant."
"user","","","classify A Block ; B Block ; C Block ; D Block ; E Block ; F Block ; IEEE Office"
"user","image_url","https://transform.roboflow.com/Cimz5zboKpN8BU9q8e7wLMdDTA02/a8b5a8c3fb4b97a4db7891e6c92f677c/transformed.jpg",""
"assistant","","","F Block"
"system","","","You are a helpful assistant."
"user","","","classify A Block ; B Block ; C Block ; D Block ; E Block ; F Block ; IEEE Office"
"user","image_url","https://transform.roboflow.com/Cimz5zboKpN8BU9q8e7wLMdDTA02/5d16e526c94550d504f97b87f76b67a4/transformed.jpg",""
"assistant","","","C Block"
"system","","","You are a helpful assistant."
"user","","","classify A Block ; B Block ; C Block ; D Block ; E Block ; F Block ; IEEE Office"
"user","image_url","https://transform.roboflow.com/Cimz5zboKpN8BU9q8e7wLMdDTA02/9d56ed635edef3b225d06daae00c3f86/transformed.jpg",""
"assistant","","","D Block"
"system","","","You are a helpful assistant."
"user","","","classify A Block ; B Block ; C Block ; D Block ; E Block ; F Block ; IEEE Office"
"user","image_url","https://transform.roboflow.com/Cimz5zboKpN8BU9q8e7wLMdDTA02/dc8242dcb1ff5c87d68aacaa0cbcad6e/transformed.jpg",""
"assistant","","","D Block"
"system","","","You are a helpful assistant."
"user","","","classify A Block ; B Block ; C Block ; D Block ; E Block ; F Block ; IEEE Office"
"user","image_url","https://transform.roboflow.com/Cimz5zboKpN8BU9q8e7wLMdDTA02/0c164e9c34325d93fa7c4d89b42238f3/transformed.jpg",""
"assistant","","","D Block"
"system","","","You are a helpful assistant."
"user","","","classify A Block ; B Block ; C Block ; D Block ; E Block ; F Block ; IEEE Office"
"user","image_url","https://transform.roboflow.com/Cimz5zboKpN8BU9q8e7wLMdDTA02/d61d1150630c251cb2f948edf048d952/transformed.jpg",""
"assistant","","","D Block"
"system","","","You are a helpful assistant."
"user","","","classify A Block ; B Block ; C Block ; D Block ; E Block ; F Block ; IEEE Office"
"user","image_url","https://transform.roboflow.com/Cimz5zboKpN8BU9q8e7wLMdDTA02/0faef1123fdbd4cd3237cd2f6976a558/transformed.jpg",""
"assistant","","","F Block"
"system","","","You are a helpful assistant."
"user","","","classify A Block ; B Block ; C Block ; D Block ; E Block ; F Block ; IEEE Office"
"user","image_url","https://transform.roboflow.com/Cimz5zboKpN8BU9q8e7wLMdDTA02/57711010ee4c723292a3932b7e2b9b42/transformed.jpg",""
"assistant","","","C Block"
"system","","","You are a helpful assistant."
"user","","","classify A Block ; B Block ; C Block ; D Block ; E Block ; F Block ; IEEE Office"
"user","image_url","https://transform.roboflow.com/Cimz5zboKpN8BU9q8e7wLMdDTA02/07b090d3d1171574604ac900648b0b31/transformed.jpg",""
"assistant","","","F Block"
"system","","","You are a helpful assistant."
"user","","","classify A Block ; B Block ; C Block ; D Block ; E Block ; F Block ; IEEE Office"
"user","image_url","https://transform.roboflow.com/Cimz5zboKpN8BU9q8e7wLMdDTA02/32742debba0021b3a065757c2ac9dcd2/transformed.jpg",""
"assistant","","","IEEE Office"
"system","","","You are a helpful assistant."
"user","","","classify A Block ; B Block ; C Block ; D Block ; E Block ; F Block ; IEEE Office"
"user","image_url","https://transform.roboflow.com/Cimz5zboKpN8BU9q8e7wLMdDTA02/4f888c7fdf59ac66f1c8d6f17e6c4f6c/transformed.jpg",""
"assistant","","","C Block"
"system","","","You are a helpful assistant."
"user","","","classify A Block ; B Block ; C Block ; D Block ; E Block ; F Block ; IEEE Office"
"user","image_url","https://transform.roboflow.com/Cimz5zboKpN8BU9q8e7wLMdDTA02/96a362d4d74f442d92cea9b02a6ae517/transformed.jpg",""
"assistant","","","A Block"
"system","","","You are a helpful assistant."
"user","","","classify A Block ; B Block ; C Block ; D Block ; E Block ; F Block ; IEEE Office"
"user","image_url","https://transform.roboflow.com/Cimz5zboKpN8BU9q8e7wLMdDTA02/b2fb50a0357f7a69579302e707ab584a/transformed.jpg",""
"assistant","","","D Block"
"system","","","You are a helpful assistant."
"user","","","classify A Block ; B Block ; C Block ; D Block ; E Block ; F Block ; IEEE Office"
"user","image_url","https://transform.roboflow.com/Cimz5zboKpN8BU9q8e7wLMdDTA02/57ab06e62bc7afe07528211b02d5ab55/transformed.jpg",""
"assistant","","","B Block"
"system","","","You are a helpful assistant."
"user","","","classify A Block ; B Block ; C Block ; D Block ; E Block ; F Block ; IEEE Office"
"user","image_url","https://transform.roboflow.com/Cimz5zboKpN8BU9q8e7wLMdDTA02/227a7d634d2868cb2f7ca578d9c6b1cb/transformed.jpg",""
"assistant","","","IEEE Office"
"system","","","You are a helpful assistant."
"user","","","classify A Block ; B Block ; C Block ; D Block ; E Block ; F Block ; IEEE Office"
"user","image_url","https://transform.roboflow.com/Cimz5zboKpN8BU9q8e7wLMdDTA02/5eb4adb1fbcd25b964c2244f64065c71/transformed.jpg",""
"assistant","","","D Block"
"system","","","You are a helpful assistant."
"user","","","classify A Block ; B Block ; C Block ; D Block ; E Block ; F Block ; IEEE Office"
"user","image_url","https://transform.roboflow.com/Cimz5zboKpN8BU9q8e7wLMdDTA02/aa9083fb6e38210050cb5acc136cc082/transformed.jpg",""
"assistant","","","F Block"
"system","","","You are a helpful assistant."
"user","","","classify A Block ; B Block ; C Block ; D Block ; E Block ; F Block ; IEEE Office"
